"","Ticker","Owner","Relationship","Date","Transaction","Cost","NumShares","ValueDollar","NumSharesTotal","SECForm4"
"1","AX","Dada Uzair","Director",18694,"Sale",48.86,4949,241788,12429,NA
"2","ORBC","Malone Craig","EVP of Product Development",18694,"Sale",7.02,5596,39292,91403,NA
"3","USCR","ROBERTS JEFFREY W","Regional VP & GM - Central",18691,"Option Exercise",0,2080,0,22785,NA
"4","OSIS","CHOPRA DEEPAK","President and CEO",18695,"Sale",97.57,10000,975700,464094,NA
"5","ORBC","Eisenberg Marc","Chief Executive Officer",18694,"Sale",7.02,31091,218309,698316,NA
"6","WDC","Goeckeler David","Chief Executive Officer",18695,"Option Exercise",0,1246,0,339503,NA
"7","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18691,"Sale",8.25,100,825,48694,NA
"8","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18694,"Sale",7.86,9219,72461,39475,NA
"9","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18695,"Sale",7.85,11931,93658,27544,NA
"10","WDC","Sundberg Lori S","EVP & Chief Human Res Officer",18691,"Option Exercise",0,431,0,68117,NA
"11","ORBC","Le Brun Christian","EVP & General Counsel",18694,"Sale",7.02,6218,43640,117948,NA
"12","PBPB","Cirulis Steven","SVP, Chief Financial Officer",18695,"Sale",5.6,9076,50826,234433,NA
"13","CWK","WHITE W BRETT","Executive Chairman and CEO",18693,"Option Exercise",0,63025,0,1177329,NA
"14","PBPB","Douglas Jeffrey","SVP, Chief Information Officer",18695,"Sale",5.6,4180,23408,135358,NA
"15","AX","Walsh Derrick","SVP, Chief Accounting Officer",18694,"Option Exercise",48.94,3969,194243,18853,NA
"16","TPTX","North Annette","EVP, General Counsel & Secty.",18694,"Option Exercise",17,20000,340000,26483,NA
"17","TPTX","North Annette","EVP, General Counsel & Secty.",18694,"Sale",109.8,20000,2195939,6483,NA
"18","AX","Micheletti Andrew J","EVP, Chief Financial Officer",18694,"Sale",48.96,15000,734400,542084,NA
"19","HCAT","Llewelyn Linda","Chief People Officer",18691,"Option Exercise",11.78,2200,25916,44058,NA
"20","HCAT","Llewelyn Linda","Chief People Officer",18691,"Sale",45.65,3131,142943,40927,NA
"21","HCAT","Horstmeier Paul","Chief Operating Officer",18691,"Sale",45.54,6571,299245,124702,NA
"22","HCAT","Alger Jason","Chief Accounting Officer",18690,"Sale",47,602,28294,23488,NA
"23","IGMS","Tahir Misbah","Chief Financial Officer",18691,"Option Exercise",1.39,2750,3822,5542,NA
"24","DENN","WOLFINGER F MARK","President",18691,"Sale",17.05,10000,170491,806648,NA
"25","LEVI","Haas Peter E. Jr.","10% Owner",18694,"Sale",24.74,43794,1083538,0,NA
"26","LEVI","Haas Peter E. Jr.","10% Owner",18695,"Sale",24.79,31535,781604,0,NA
"27","LBRT","Wright Christopher A","Chairman of the Board & CEO",18691,"Sale",13.38,10000,133800,3974162,NA
"28","LBRT","Wright Christopher A","Chairman of the Board & CEO",18694,"Sale",14.05,18570,260908,3955592,NA
"29","LEVI","Haas Daniel S.","10% Owner",18691,"Sale",24.06,25038,602417,0,NA
"30","LEVI","Haas Daniel S.","10% Owner",18694,"Sale",24.74,63225,1564294,0,NA
"31","LEVI","Haas Daniel S.","10% Owner",18695,"Sale",24.79,45527,1128400,0,NA
"32","HTBK","BISCEGLIA FRANK G","Director",18694,"Option Exercise",5.16,4500,23220,34120,NA
"33","SMAR","MADER MARK PATRICK","President and CEO",18694,"Option Exercise",3.73,7500,27975,463374,NA
"34","INO","Weiner David B.","Director",18694,"Sale",9.18,3500,32135,835385,NA
"35","INO","Weiner David B.","Director",18695,"Sale",9.6,3500,33601,843552,NA
"36","MGM","HORNBUCKLE WILLIAM","CEO AND PRESIDENT",18694,"Sale",37.1,40000,1484036,187884,NA
"37","CVNA","GARCIA ERNEST C. II","10% Owner",18691,"Sale",260.64,35487,9249159,0,NA
"38","EVFM","PELLETIER SAUNDRA L","Chief Executive Officer",18695,"Buy",2.28,45249,103168,906137,NA
"39","CVNA","GARCIA ERNEST C. II","10% Owner",18691,"Sale",250.88,14513,3640982,0,NA
"40","ELF","AMIN TARANG","Chief Executive Officer",18694,"Sale",26.53,26372,699541,2332002,NA
"41","ELF","AMIN TARANG","Chief Executive Officer",18695,"Sale",26.65,23426,624312,2308576,NA
"42","MORF","SCHEGERIN MARC","CFO and COO",18694,"Buy",63.5,3000,190514,6379,NA
"43","DK","Staskus Nilah","EVP, Chief Accounting Officer",18691,"Sale",24.95,100,2495,8711,NA
"44","PNM","Apodaca Patrick V","SVP, GEN COUNSEL & SECY",18691,"Option Exercise",0,11644,0,81193,NA
"45","PNM","Eldred Charles N","EVP Corp Development & Finance",18691,"Option Exercise",0,22951,0,133855,NA
"46","PNM","COLLAWN PATRICIA K","CHAIRMAN, PRESIDENT AND CEO",18691,"Option Exercise",0,80507,0,625288,NA
"47","PNM","TARRY JOSEPH DON","SVP, and CFO",18691,"Option Exercise",0,6923,0,19695,NA
"48","PNM","OLSON CHRIS M","SVP, UTILITY OPERATIONS",18691,"Option Exercise",0,8578,0,19962,NA
"49","PNM","Monroy Henry E","VP & Corporate Controller",18691,"Option Exercise",0,2191,0,3749,NA
"50","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18694,"Buy",234.24,11626,2723330,152336,NA
"51","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18694,"Buy",234.24,17911,4195559,234670,NA
"52","PNM","Darnell Ronald N.","SVP, PUBLIC POLICY",18691,"Option Exercise",0,9102,0,35969,NA
"53","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18691,"Buy",234.57,1146,268812,83807,NA
"54","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18691,"Buy",234.57,1766,414243,129105,NA
"55","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18694,"Buy",224.1,56903,12752132,140710,NA
"56","SNOW","ICONIQ Strategic Partners V, L","10% Owner",18694,"Buy",224.1,87654,19643515,216759,NA
"57","CAG","Batcheler Colleen","EVP Gen Counsel & Corp Secty",18694,"Sale",36,9931,357516,159943,NA
"58","BCEI","Tinsley Dean","SVP, Operations",18694,"Sale",38.2,1992,76088,32873,NA
"59","SLQT","GRANT W THOMAS II","Director",18694,"Sale",27.5,2e+06,5.5e+07,694744,NA
"60","KALU","Weaver Brant","VP - Strategic Development",18694,"Sale",115.41,378,43625,5231,NA
"61","UEIC","CHAHIL SATJIV S","Director",18695,"Sale",62.39,2000,124780,114811,NA
"62","PFSI","KURLAND FAMILY INVESTMENTS, LL","10% Owner",18694,"Sale",63.13,41750,2635628,7439740,NA
"63","REYN","GOTTSCHALK MARLA C","Director",18691,"Option Exercise",0,4335,0,4335,NA
"64","AMH","HUGHES B WAYNE ET AL","10% Owner",18694,"Buy",26.55,1880,49914,8300,NA
"65","GTN","Latek Kevin Paul","EVP Chief L & D Officer",18694,"Sale",20,11897,237940,241671,NA
"66","LUV","Jordan Robert E","EVP Corporate Services",18694,"Sale",59.98,28795,1727196,141296,NA
"67","VRSK","Daffan Nicholas","Chief Information Officer",18694,"Option Exercise",62.63,9334,584625,29974,NA
"68","VRSK","Daffan Nicholas","Chief Information Officer",18694,"Sale",169.58,5768,978137,24206,NA
"69","ENPH","Branderiz Eric","EVP & Chief Financial Officer",18694,"Sale",143.35,21045,3016702,207025,NA
"70","AMCX","DOLAN JAMES LAWRENCE","Member of 13(d) Group",18691,"Sale",68.94,66719,4599466,1250,NA
"71","AMCX","Sweeney Brian","Trustee of 13(d) Group Member",18691,"Sale",68.84,27793,1913262,0,NA
"72","AMCX","Sweeney Brian","Trustee of 13(d) Group Member",18691,"Sale",68.84,7675,528345,0,NA
"73","CWK","Soloway Brett","See Remarks",18693,"Option Exercise",0,6723,0,98234,NA
"74","AMCX","CHARLES F. DOLAN CHILDREN TRUS","Member of 13(d) Group",18694,"Sale",66.96,47864,3204887,0,NA
"75","AMCX","DOLAN KATHLEEN MARGARET","Member of 13(d) Group",18694,"Sale",66.96,47864,3204887,175000,NA
"76","PMT","Stewart Stacey D.","Director",18691,"Sale",18.74,667,12500,33877,NA
"77","CWK","TEXTER LEN","Global Controller and CAO",18693,"Option Exercise",0,3782,0,8199,NA
"78","CWK","Robinson Nathaniel","See Remarks",18693,"Option Exercise",0,4202,0,61735,NA
"79","CWK","Forrester John","Global President",18693,"Option Exercise",0,21009,0,198075,NA
"80","JMP","WEDBUSH SECURITIES INC","Possible Member of 10% Group",18691,"Buy",5.09,3800,19341,2085000,NA
"81","JMP","WEDBUSH SECURITIES INC","Possible Member of 10% Group",18691,"Buy",5.09,3800,19341,2085000,NA
"82","JMP","WEDBUSH SECURITIES INC","Possible Member of 10% Group",18694,"Buy",5.19,1000,5190,2086000,NA
"83","JMP","WEDBUSH SECURITIES INC","Possible Member of 10% Group",18694,"Buy",5.19,1000,5190,2086000,NA
"84","VRRM","MILLER GARRETT FRISTOE","Executive Vice President",18691,"Option Exercise",0,1337,0,4772,NA
"85","VRRM","COLLINS REBECCA","General Counsel",18691,"Option Exercise",0,1664,0,24883,NA
"86","SWBI","Smith Mark Peter","See remarks.",18694,"Buy",16.71,1496,25006,149186,NA
"87","ZM","Steckelberg Kelly","Chief Financial Officer",18691,"Sale",334.72,20000,6694384,0,NA
"88","VRRM","Chiodo Patricia","Chief Financial Officer",18691,"Option Exercise",0,3328,0,171832,NA
"89","CRVL","CLEMONS V GORDON","Chairman of the Board",18691,"Sale",104.5,1500,156743,636250,NA
"90","CRVL","CLEMONS V GORDON","Chairman of the Board",18695,"Sale",106.23,500,53115,635750,NA
"91","VRRM","ROBERTS DAVID MARTIN","President and CEO",18691,"Option Exercise",0,9568,0,515383,NA
"92","HPE","MAY ALAN RICHARD","EVP, Chief People Officer",18691,"Option Exercise",8.69,343017,2981160,476565,NA
"93","HPE","MAY ALAN RICHARD","EVP, Chief People Officer",18691,"Sale",14.31,343017,4908951,249516,NA
"94","GDOT","Osher Jeffrey","Director",18691,"Sale",45.6,72980,3328182,104010,NA
"95","PFHD","Schimmel Lawrence","Director",18694,"Sale",17.98,300,5394,25714,NA
"96","AIRC","Kimmel Keith M","President, Property Operations",18694,"Sale",41.88,17000,711979,27115,NA
"97","MDLA","Carducci Elizabeth","Chief Revenue Officer",18694,"Option Exercise",0.16,125001,20000,819087,NA
"98","SFM","Lombardi Brandon F.","Chief Legal Officer",18691,"Sale",23.86,929,22167,29863,NA
"99","SFM","Lombardi Brandon F.","Chief Legal Officer",18694,"Sale",23.8,4482,106672,38397,NA
"100","CBNK","ASHMAN STEPHEN N","Director",18695,"Sale",19.89,10000,198900,408135,NA
"101","SFM","McGlinchey David","Chief Format Officer",18691,"Sale",23.86,830,19805,21259,NA
"102","SFM","McGlinchey David","Chief Format Officer",18694,"Sale",23.8,699,16636,20560,NA
"103","SFM","Sanders Dan J","Chief Operations Officer",18691,"Sale",23.86,881,21021,13324,NA
"104","SFM","Sanders Dan J","Chief Operations Officer",18694,"Sale",23.8,4489,106838,21851,NA
"105","REYN","NOLL RICHARD A","Director",18691,"Option Exercise",0,6502,0,6502,NA
"106","REYN","Mayrhofer Chris","VP, Controller & CAO",18691,"Option Exercise",0,1042,0,1042,NA
"107","REYN","MITCHELL V LANCE","President and CEO",18691,"Option Exercise",0,10770,0,41312,NA
"108","REYN","Cappel Craig E.","President, Reynolds Cook&Bake",18691,"Option Exercise",0,1934,0,3878,NA
"109","REYN","Buckner Judith K.","President, Presto Products",18691,"Option Exercise",0,1439,0,2885,NA
"110","REYN","Pace Stephan M.","President, Walmart/Sams&eComm",18691,"Option Exercise",0,1878,0,3766,NA
"111","REYN","Bishop Rachel Rothe","President, Hefty Tableware",18691,"Option Exercise",0,1717,0,3445,NA
"112","REYN","Graham Michael E.","Chief Financial Officer",18691,"Option Exercise",0,3329,0,9433,NA
"113","REYN","Smith Lisa M","President, Hefty Waste&Storage",18691,"Option Exercise",0,416,0,416,NA
"114","BMRN","GREY MICHAEL G","Director",18691,"Option Exercise",26.49,5000,132450,47840,NA
"115","BMRN","GREY MICHAEL G","Director",18691,"Sale",76.28,5000,381400,42840,NA
"116","AB","Cranch Laurence E","Chief Legal Officer",18694,"Sale",37.71,9154,345197,0,NA
"117","BLI","Rothman James","Director",18691,"Sale",52.75,140000,7385000,138845,NA
"118","UNM","Pashley Cherie","SVP, Chief Accounting Officer",18691,"Sale",27.36,5000,136800,17285,NA
"119","SBGI","FABER BARRY","Pres.,Dist.& Network Relations",18691,"Sale",36.41,3497,127333,0,NA
"120","SBAC","BAGWELL KURT L","EVP; Pres. - International",18695,"Sale",246.09,4278,1052773,30949,NA
"121","TDOC","Verstraete Stephany","Chief Marketing Officer",18691,"Sale",183.18,4463,817550,22278,NA
"122","SBAC","LANGER JACK","Director",18691,"Option Exercise",96.8,2202,213154,2707,NA
"123","GMRE","Busch Jeffrey","Chairman, President and CEO",18694,"Buy",13.81,1750,24168,40490,NA
"124","TRMB","Gabriel Kaigham","Director",18690,"Sale",71.62,4356,311961,8500,NA
"125","TDOC","Vandervoort Adam C","Chief Legal Officer, Secretary",18691,"Sale",183.18,4165,762961,9585,NA
"126","TDOC","Turitz Andrew","SVP - Business Development",18691,"Sale",185.29,2666,493972,8749,NA
"127","TDOC","Turitz Andrew","SVP - Business Development",18694,"Sale",188.15,1193,224463,7556,NA
"128","CRM","Tallapragada Srinivas","Pres/Chief Engineering Officer",18694,"Option Exercise",80.99,5000,404950,51242,NA
"129","CRM","Tallapragada Srinivas","Pres/Chief Engineering Officer",18694,"Sale",213,5000,1065000,46242,NA
"130","CTXS","HOUGH PAUL J.","EVP & Chief Product Officer",18694,"Sale",135,2000,270000,90347,NA
"131","TDOC","Trencher Daniel","SVP Corporate Strategy",18691,"Sale",183.18,2383,436527,13739,NA
"132","ZM","Eschenbach Carl M.","Director",18694,"Sale",324.8,17792,5778833,13295,NA
"133","ZM","Eschenbach Carl M.","Director",18691,"Sale",334.52,37400,12511130,37403,NA
"134","ZM","Eschenbach Carl M.","Director",18694,"Sale",310.87,6316,1963464,31087,NA
"135","PXD","SHEFFIELD SCOTT D","Chief Executive Officer",18691,"Option Exercise",113.76,36232,4121752,456949,NA
"136","PXD","SHEFFIELD SCOTT D","Chief Executive Officer",18691,"Sale",162.73,29882,4862716,427067,NA
"137","TDOC","GOREVIC JASON N","Chief Executive Officer",18691,"Option Exercise",15.78,12674,199993,560970,NA
"138","TDOC","GOREVIC JASON N","Chief Executive Officer",18691,"Sale",183.18,20220,3703980,548296,NA
"139","LGIH","Snider Michael Larry","President and COO",18694,"Sale",130.26,3850,501493,117757,NA
"140","UNM","Arnold Timothy Gerald","EVP, VB & President, Colonial",18691,"Sale",28.53,7000,199717,79312,NA
"141","PB","Fisk George A.","Director",18694,"Sale",78.17,2000,156333,95744,NA
"142","SHW","Sewell David B","President and COO",18691,"Option Exercise",238.79,11291,2696149,19105,NA
"143","SHW","Sewell David B","President and COO",18691,"Sale",663.17,10244,6793481,8861,NA
"144","OSBC","Ladowicz John","Director",18694,"Sale",13.76,14500,199520,219777,NA
"145","XEC","Burford G Mark","SVP & Chief Financial Officer",18694,"Sale",67.13,5000,335673,174528,NA
"146","ROK","Kulaszewicz Frank C","SVP",18694,"Option Exercise",192.86,100,19286,19462,NA
"147","ROK","Kulaszewicz Frank C","SVP",18694,"Sale",255.14,100,25514,19362,NA
"148","SBSI","DAVIS SUNI M","CHIEF RISK OFFICER",18695,"Option Exercise",16.81,810,13616,4926,NA
"149","SBSI","DAVIS SUNI M","CHIEF RISK OFFICER",18695,"Sale",40,810,32400,4116,NA
"150","FOLD","Quimi Daphne","Chief Financial Officer",18691,"Option Exercise",2.94,16628,48886,275998,NA
"151","PDCE","Lauck Lance","EVP, Corp. Dev. & Strategy",18694,"Sale",37.45,3000,112350,166852,NA
"152","GPI","DeLongchamps Peter C","Sr. VP, Financial Svcs/Mfr Rel",18694,"Sale",163.86,5000,819282,33313,NA
"153","PDCE","Crisafio Anthony J","Director",18694,"Sale",37.78,5000,188900,9036,NA
"154","TMDX","Khayal Tamer I","Chief Commercial Officer",18694,"Option Exercise",0.28,20000,5600,66076,NA
"155","TMDX","Khayal Tamer I","Chief Commercial Officer",18691,"Option Exercise",0.36,20000,7200,66076,NA
"156","TMDX","Khayal Tamer I","Chief Commercial Officer",18691,"Sale",30.9,20000,618099,46076,NA
"157","TMDX","Khayal Tamer I","Chief Commercial Officer",18694,"Sale",32,20000,640000,46076,NA
"158","GHL","Ferro Kevin","Director",18691,"Buy",14.85,500,7425,500,NA
"159","GHL","Ferro Kevin","Director",18695,"Buy",14.5,4244,61538,4744,NA
"160","PXD","DEALY RICHARD P","President and COO",18691,"Option Exercise",113.76,12078,1373993,137506,NA
"161","PXD","DEALY RICHARD P","President and COO",18691,"Sale",163.24,9890,1614488,127616,NA
"162","TCMD","Moen Brent","Chief Financial Officer",18691,"Sale",47.33,174,8235,25691,NA
"163","LOV","Canaan VIII LP","10% Owner",18691,"Sale",4.88,1818,8875,3316671,NA
"164","TCMD","Rishe Bryan","SVP, Sales",18691,"Sale",47.15,196,9242,37567,NA
"165","TPH","BAUER DOUGLAS F.","Chief Executive Officer",18694,"Sale",20.31,62974,1279002,779136,NA
"166","TPH","KEELER GLENN J.","CFO, Treasurer and CAO",18695,"Sale",20.11,13169,264829,0,NA
"167","ILMN","TOUSI SUSAN H","SVP Product Development",18691,"Sale",402.24,800,321792,44943,NA
"168","PXD","Hall Jerome D JR","EVP, Operations",18694,"Sale",163.08,3600,587088,53333,NA
"169","SBGI","BOCHENEK DAVID R","Chief Accounting Officer",18691,"Sale",36.27,5789,209974,0,NA
"170","SBGI","BOCHENEK DAVID R","Chief Accounting Officer",18694,"Sale",37.74,9726,367015,603,NA
"171","AXP","Williams Anre D","Group Pres., GMNS",18691,"Option Exercise",65.68,80795,5306987,152822,NA
"172","AXP","Williams Anre D","Group Pres., GMNS",18691,"Sale",145.88,59352,8658270,93470,NA
"173","BSY","Griswold Kirk B.","Director",18691,"Option Exercise",3.73,20000,74600,562941,NA
"174","PXD","CHEATWOOD CHRIS J","EVP, Advisor to the Management",18694,"Sale",164.88,6200,1022281,44565,NA
"175","TAST","Perelman Matthew Terker","Director",18694,"Buy",6.6,75000,494738,181324,NA
"176","GRPN","Cooper Aaron Z.","Interim CEO",18691,"Option Exercise",0,4577,0,44939,NA
"177","GRPN","Thomas Melissa","Chief Financial Officer",18691,"Option Exercise",0,168,0,30766,NA
"178","PXD","BERG MARK STEPHEN","EVP, Corporate Operations",18694,"Option Exercise",113.76,2897,329563,36110,NA
"179","PXD","BERG MARK STEPHEN","EVP, Corporate Operations",18691,"Option Exercise",113.76,3966,451172,37179,NA
"180","PXD","BERG MARK STEPHEN","EVP, Corporate Operations",18691,"Sale",164,3966,650424,33213,NA
"181","PXD","BERG MARK STEPHEN","EVP, Corporate Operations",18694,"Sale",165.16,2897,478469,33213,NA
"182","NOW","LUDDY FREDERIC B","Director",18694,"Sale",485.84,810,393528,50700,NA
"183","AAWW","Schwartz Spencer","EVP & CFO",18694,"Sale",58.22,15000,873290,27863,NA
"184","NOW","LUDDY FREDERIC B","Director",18694,"Sale",478.48,15690,7507328,51510,NA
"185","PII","Williams James P","SVP-CHRO",18694,"Option Exercise",86.45,20000,1729000,42991,NA
"186","PII","Williams James P","SVP-CHRO",18694,"Sale",133.79,24806,3318684,18185,NA
"187","PII","Menneto Steven","President-ORV",18691,"Option Exercise",89.39,16109,1439984,42145,NA
"188","PII","Menneto Steven","President-ORV",18691,"Sale",129.84,17394,2258478,24751,NA
"189","FHI","Uhlman Paul A","Vice President",18694,"Sale",30.05,10297,309448,317429,NA
"190","VNDA","Polymeropoulos Mihael Hristos","President and CEO",18694,"Sale",18,175000,3150052,1221062,NA
"191","ABG","Stax William Frederick","VP, Controller & CAO",18691,"Option Exercise",0,185,0,971,NA
"192","CRVL","CORSTAR HOLDINGS INC","10% Owner",18691,"Sale",104.45,7062,737591,6582237,NA
"193","CRVL","CORSTAR HOLDINGS INC","10% Owner",18694,"Sale",106.47,6370,678186,6575867,NA
"194","CRVL","CORSTAR HOLDINGS INC","10% Owner",18695,"Sale",105.7,5508,582209,6570359,NA
"195","ABG","Villasana George A","SVP, GC & Secretary",18691,"Option Exercise",0,1022,0,20538,NA
"196","ABG","Milstein Jed","SVP & CHRO",18691,"Option Exercise",0,710,0,13824,NA
"197","ABG","Clara Daniel","SVP, Operations",18691,"Option Exercise",0,888,0,20320,NA
"198","FHI","Nusseibeh Saker Anwar","CEO, Hermes Fund Managers Ltd.",18694,"Sale",30.11,5093,153362,73400,NA
